ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
AAPL,APPLE INC,Information Technology,Equity,"1,439,579,659.98",9.30,"1,439,579,659.98","6,264,762.00",229.79,United States,NASDAQ,USD
MSFT,MICROSOFT CORP,Information Technology,Equity,"1,254,435,161.92",8.10,"1,254,435,161.92","3,036,491.00",413.12,United States,NASDAQ,USD
NVDA,NVIDIA CORP,Information Technology,Equity,"1,181,743,987.82",7.63,"1,181,743,987.82","10,049,698.00",117.59,United States,NASDAQ,USD
AVGO,BROADCOM INC,Information Technology,Equity,"767,418,301.35",4.96,"767,418,301.35","4,890,195.00",156.93,United States,NASDAQ,USD
META,META PLATFORMS INC CLASS A,Communication,Equity,"738,129,248.10",4.77,"738,129,248.10","1,424,355.00",518.22,United States,NASDAQ,USD
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"731,794,170.12",4.73,"731,794,170.12","4,251,651.00",172.12,United States,NASDAQ,USD
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"415,236,314.53",2.68,"415,236,314.53","468,331.00",886.63,United States,NASDAQ,USD
TSLA,TESLA INC,Consumer Discretionary,Equity,"406,834,079.76",2.63,"406,834,079.76","1,972,242.00",206.28,United States,NASDAQ,USD
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"388,618,856.32",2.51,"388,618,856.32","2,402,144.00",161.78,United States,NASDAQ,USD
GOOG,ALPHABET INC CLASS C,Communication,Equity,"375,337,970.00",2.42,"375,337,970.00","2,297,050.00",163.40,United States,NASDAQ,USD
NFLX,NETFLIX INC,Communication,Equity,"315,211,356.16",2.04,"315,211,356.16","455,192.00",692.48,United States,NASDAQ,USD
ADBE,ADOBE INC,Information Technology,Equity,"269,178,086.87",1.74,"269,178,086.87","472,549.00",569.63,United States,NASDAQ,USD
PEP,PEPSICO INC,Consumer Staples,Equity,"249,475,603.29",1.61,"249,475,603.29","1,449,681.00",172.09,United States,NASDAQ,USD
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"248,059,431.57",1.60,"248,059,431.57","1,704,993.00",145.49,United States,NASDAQ,USD
TMUS,T MOBILE US INC,Communication,Equity,"247,166,226.96",1.60,"247,166,226.96","1,235,337.00",200.08,United States,NASDAQ,USD
LIN,LINDE PLC,Materials,Equity,"240,170,003.77",1.55,"240,170,003.77","508,049.00",472.73,United States,NASDAQ,USD
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"214,280,300.43",1.38,"214,280,300.43","4,252,437.00",50.39,United States,NASDAQ,USD
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"202,458,740.99",1.31,"202,458,740.99","959,111.00",211.09,United States,NASDAQ,USD
